Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
1,118,5.792312,5.841399,331.875000,334.687500
2,118,5.790147,5.843564,331.750977,334.811523
3,118,5.788829,5.844882,331.675476,334.887054
4,118,5.787149,5.846560,331.579224,334.983246
1,119,5.841399,5.890486,334.687500,337.500000
2,119,5.839234,5.892651,334.563477,337.624023
3,119,5.837916,5.893969,334.487946,337.699554
4,119,5.836237,5.895648,334.391754,337.795746
1,120,5.890486,5.939574,337.500000,340.312500
2,120,5.888322,5.941738,337.376007,340.436523
3,120,5.887003,5.943056,337.300446,340.512024
4,120,5.885324,5.944736,337.204254,340.608246
1,121,5.939574,5.988661,340.312500,343.125000
2,121,5.937409,5.990826,340.188477,343.249023
3,121,5.936091,5.992144,340.112946,343.324554
4,121,5.934412,5.993823,340.016754,343.420776
1,122,5.988661,6.037748,343.125000,345.937500
2,122,5.986496,6.039913,343.000977,346.061493
3,122,5.985178,6.041231,342.925476,346.137054
4,122,5.983499,6.042910,342.829254,346.233246
1,123,6.037748,6.086836,345.937500,348.750000
2,123,6.035584,6.089000,345.813477,348.874023
3,123,6.034266,6.090319,345.737946,348.949554
4,123,6.032587,6.091998,345.641754,349.045746
1,124,6.086836,6.135923,348.750000,351.562500
2,124,6.084671,6.138088,348.626007,351.686523
3,124,6.083353,6.139406,348.550446,351.762024
4,124,6.081674,6.141085,348.454254,351.858246
1,125,6.135923,6.185010,351.562500,354.375000
2,125,6.133759,6.187175,351.438477,354.499023
3,125,6.132441,6.188493,351.362976,354.574554
4,125,6.130761,6.190172,351.266754,354.670746
1,126,6.185010,6.234098,354.375000,357.187500
2,126,6.182846,6.236262,354.250977,357.311523
3,126,6.181528,6.237581,354.175446,357.387054
4,126,6.179849,6.239260,354.079254,357.483246
1,127,6.234098,0.000000,357.187500,0.000010
2,127,6.231934,0.002165,357.063507,0.124019
3,127,6.230615,0.003483,356.987946,0.199534
4,127,6.228936,0.005162,356.891754,0.295757
